response,label,score
"It's nice and active, especially with Tom pushing good amount of pages. Keeps the discussions and speculations fresh.",Positive,0.9351990222930908
I joined the community this year. They are easy going and care about the comic a lot.,Positive,0.9226342439651489
It's good,Positive,0.9203968048095703
The people in the TKGC community have made me very very happy <3,Positive,0.8618806004524231
Mostly good,Positive,0.8588246703147888
Very interactive and chill,Positive,0.8498607873916626
Comic progress improved,Positive,0.8451073169708252
It's still pretty active,Positive,0.7966472506523132
The number of pages being posted have picked up and the community has been fun to hang out with.,Positive,0.7939562797546387
Diverse and fun,Positive,0.7332321405410767
Proud of our community,Positive,0.6724012494087219
Cool. :3,Positive,0.6323652863502502
"Keep it going, as always! I love you all <3.",Positive,0.5768557786941528
What can I say? It's all great!,Positive,0.5025674700737
Always super positive,Positive,0.4721033573150635
I'm keeping an eye on all of you. <_<,Positive,0.4010743796825409
Butts,Neutral,0.6081901788711548
Dunno,Neutral,0.5907488465309143
Same as always,Neutral,0.5411035418510437
The plot feels a bit stagnant,Negative,0.9464892148971558
I’m excited to see more progress on the comic versus last year. I’m kinda bummed to hear that voting for Sunday sketches is no more and people were manipulating it.,Negative,0.9176651239395142
Twokinds It feels like it is getting a resurgence and there is a lot of new content coming out ,Negative,0.8701249957084656
I feel with the better publishing schedule we are much more active ,Negative,0.8695124983787537
"not as nice as it used to be. Lots of indifference, parroting, lack of critical thinking, short attention spans, some come off as insensitive. Difficult to feel safe enough to express my opinion anymore without feeling invalidated.",Negative,0.8442163467407227
"Tom should lock in on the comic, not sketches.",Negative,0.7880112528800964
"Well, it's fine, Idk, I don't really have a strong opinion about it",Negative,0.7375551462173462
Comic: a good albeit slow year for the comic. Community: Exhausting ,Negative,0.6941022872924805
I have no strong feelings one way or the other,Negative,0.48153242468833923
"I have mixed feelings about this community, it’s a love/hate relationship: I love the queer fanart and most of the artwork of the cast, but the way many people here act towards queerness (especially with Natani) is at best with excessive skepticism.",Negative,0.46766993403434753
