response,label,score
... I dunno.,Very Negative,0.37743067741394043
gets transformed,Positive,0.5749711990356445
gets transformed,Positive,0.5749711990356445
gets TF'ed.,Positive,0.5463817119598389
Oopsies with magic,Positive,0.44842493534088135
gets genderbent,Positive,0.37930721044540405
Gets gender-bent,Positive,0.37652307748794556
IS an anthro canine or feline,Neutral,0.9126921892166138
Rule 34's,Neutral,0.9030715227127075
turns into a sack of potatoes,Neutral,0.8271397948265076
questions gender,Neutral,0.802302360534668
Gets their species or gender changed,Neutral,0.7747941613197327
genderswaps,Neutral,0.771131694316864
Turns into a wolf.,Neutral,0.7393509149551392
transforms into a girl,Neutral,0.6671051979064941
has sex,Neutral,0.6385354399681091
is in an awkward situation ,Neutral,0.6056461930274963
Bwom ,Neutral,0.5819777250289917
is different than you? Ehh... sure,Neutral,0.47245219349861145
bwoms,Neutral,0.4114372432231903
gets naked,Negative,0.8582455515861511
Has to be 'conveniently censored'.,Negative,0.8329488635063171
is not girl,Negative,0.8021604418754578
has to deal with a crisis,Negative,0.6621366143226624
Experiences humourous misfotune,Negative,0.5754560828208923
Is naked,Negative,0.5250673294067383
suffers ,Negative,0.48132437467575073
Has a typo in their speech bubble,Negative,0.4733191728591919
has a crate thrown at them,Negative,0.4653998017311096
has a sexuality crises!,Negative,0.4565199911594391
Turns Mike into a girl,Negative,0.43914276361465454
Gets genderbent,Negative,0.41343533992767334
Gets genderbent,Negative,0.41343533992767334
