response,label,score
I think these questions are perfect.,Very Positive,0.5170562863349915
Fursona survey!,Very Positive,0.32942306995391846
I can't think of any,Very Negative,0.5606032609939575
"Kiss, Marry, Kill",Very Negative,0.5106853246688843
Favorite Character's past or Favorite Character and their character development.,Neutral,0.9297695755958557
Do you access the nsfw channels,Neutral,0.8997240662574768
"Which character would you like to see more of in the comic? What are your favorite Two Kinds sketch series?
",Neutral,0.8829115629196167
"A “why” to the favourite/least favourite characters.

What do you think Tom gets up to between comic/sketch streams?

Pitch your side comic idea in two sentences or fewer.",Neutral,0.8825949430465698
Why do you like said character?,Neutral,0.8737545609474182
What do you think is the definitive moment so far in the comic?,Neutral,0.8595563173294067
A question about why {NAME} is your (least) favorite character. ,Neutral,0.8278010487556458
"Maybe some could allow for longer answers / become multiple choices (allow ppl to rank fav chars in case sb has more than 1 — idk, 0-10 with 0 being unsure? same goes for least favs).
Btw Custom Pledge feels too general - some select it 'cuz they'd go for +10$, others 'cuz they'd go <10 or even <5$.",Neutral,0.7895006537437439
How well has you time in the fandom been as a queer fan?,Neutral,0.7693076133728027
Who have best butt?,Neutral,0.6184788346290588
Ask what character the responder thinks is over/underhyped,Neutral,0.5724764466285706
"Would you rather Tom took his time with the story writing, (not artistically speaking) or would you rather he just rush it even if the quality and character development will suffer?",Neutral,0.5437559485435486
"idk, I ain't good at this kind of stuff. XD",Negative,0.783734142780304
Can't really say,Negative,0.7728785872459412
None from my end,Negative,0.6424077749252319
Can't think of anything.,Negative,0.44891899824142456
